name, latitude, longitude, color
G, 45.778268, 24.15275, green
I, 45.778803, 24.153777, green
J, 45.779379, 24.154783, green
K, 45.780011, 24.155936, green
E1, 45.779697, 24.156287, green
D1, 45.77939, 24.156632, green
Z, 45.778033, 24.158644, green
Y, 45.778265, 24.158926, green
X, 45.779084, 24.159921, green

A, 45.777676, 24.158167, red
B, 45.777013, 24.156993, red
C, 45.776509, 24.156175, red
D, 45.77601, 24.155461, red
E, 45.77664, 24.154649, red
F, 45.777555, 24.153584, red
L, 45.781104, 24.157701, red
M, 45.780761, 24.158203, red
N, 45.780688, 24.158079, red
O, 45.779957, 24.158573, red
P, 45.779932, 24.158907, red
R, 45.779709, 24.159127, red
Q, 45.779247, 24.159677, red
A1, 45.777239, 24.156753, red
B1, 45.778522, 24.154107, red
C1, 45.777094, 24.155445, red
F1, 45.778429, 24.158657, red
G1, 45.778688, 24.158985, red
H1, 45.779215, 24.158346, red
