name,latitude,longitude
A, 45.777676, 24.158167
B, 45.777013, 24.156993
C, 45.776509, 24.156175
D, 45.776010, 24.155461
E, 45.776640, 24.154649
F, 45.777555, 24.153584
G, 45.778268, 24.152750
I, 45.778803, 24.153777
J, 45.779379, 24.154783
K, 45.780011, 24.155936
L, 45.781104, 24.157701
M, 45.780761, 24.158203
N, 45.780688, 24.158079
O, 45.779957, 24.158573
P, 45.779932, 24.158907
R, 45.779709, 24.159127
Q, 45.779247, 24.159677
X, 45.779084, 24.159921
Y, 45.778265, 24.158926
Z, 45.778033, 24.158644
A1, 45.777239, 24.156753
B1, 45.778522, 24.154107
C1, 45.777094, 24.155445
D1, 45.779390, 24.156632
E1, 45.779697, 24.156287
F1, 45.778429, 24.158657
G1, 45.778688, 24.158985
H1, 45.779215, 24.158346
